"steps","date","interval"
NA,"2012-10-01",0
NA,"2012-10-01",5
NA,"2012-10-01",10
NA,"2012-10-01",1200
NA,"2012-10-01",1205
NA,"2012-10-01",1210
0,"2012-10-02",0
0,"2012-10-02",5
0,"2012-10-02",10
0,"2012-10-02",1200
0,"2012-10-02",1205
0,"2012-10-02",1210
0,"2012-10-03",0
0,"2012-10-03",5
0,"2012-10-03",10
97,"2012-10-03",1200
0,"2012-10-03",1205
0,"2012-10-03",1210
47,"2012-10-04",0
0,"2012-10-04",5
0,"2012-10-04",10
160,"2012-10-04",1200
79,"2012-10-04",1205
0,"2012-10-04",1210
